Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Coty inc.,COTY,"",12046.0,62000.0,0.0008,,148,12046.0,,new,0.0015836,Q3 2019,CONSUMER STAPLES,"","",5.16
Republic first bancorp. inc.,FRBK,"",10593.0,23000.0,0.0003,,149,10593.0,,new,0.0179998,Q1 2020,FINANCE,"","",2.19
Gannett co inc. (new media investment group),GCI,"",13439.0,20000.0,0.0003,0.0008,150,-1992.0,-12.909079,reduction,0.0102583,Q4 2019,COMMUNICATIONS,"","",6.38
Hewlett packard enterprise co,HPE,"",0.0,0.0,,0.0017,"",-13589.0,-100.0,soldall,0.0000000,Q4 2019,INFORMATION TECHNOLOGY,"","",15.86
Toll brothers  inc.,TOL,"",0.0,0.0,,0.0041,"",-13131.0,-100.0,soldall,0.0000000,Q4 2019,CONSUMER DISCRETIONARY,"","",39.51
Caesars entertainment corp (delisted after merger with eldorado,CZR2,"",0.0,0.0,,0.0021,"",-19486.0,-100.0,soldall,0.0000000,Q4 2019,CONSUMER DISCRETIONARY,"","",59.64
Lkq corp,LKQ,"",0.0,0.0,,0.0051,"",-18114.0,-100.0,soldall,0.0000000,Q4 2019,INDUSTRIALS,"","",35.7
Spirit aerosystems holdings inc. class a,SPR,"",0.0,0.0,,0.0083,"",-14242.0,-100.0,soldall,0.0000000,Q4 2019,INDUSTRIALS,"","",72.88
Qiagen n.v.,QGEN,"",0.0,0.0,,0.003,"",-11122.0,-100.0,soldall,0.0000000,Q4 2019,HEALTH CARE,"","",33.8
Wpx energy inc,WPX,"",0.0,0.0,,0.0015,"",-13746.0,-100.0,soldall,0.0000000,Q4 2019,ENERGY,"","",13.74
Cooper companies (the),COO,"",0.0,0.0,,0.0046,"",-1800.0,-100.0,soldall,0.0000000,Q4 2019,HEALTH CARE,"","",321.29
Kohls corp.,KSS,"",0.0,0.0,,0.0051,"",-12522.0,-100.0,soldall,0.0000000,Q3 2019,CONSUMER DISCRETIONARY,"","",49.66
Stamps.com inc,STMP1,"",0.0,0.0,,0.0113,"",-17045.0,-100.0,soldall,0.0000000,Q4 2019,INFORMATION TECHNOLOGY,"","",83.52
Perrigo co plc,PRGO,"",0.0,0.0,,0.0021,"",-5196.0,-100.0,soldall,0.0000000,Q4 2019,HEALTH CARE,"","",51.66
