Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-11-29,250.000699797483,251.68131207492323,248.83157700126,250.2473297119141,82346400,0.0,0.0,0.0
2018-11-30,250.09210762638145,252.34815312009349,249.76330482118937,251.7727203369141,98204200,0.0,0.0,0.0
2018-12-03,256.00153509606247,256.1111359749615,253.4714885612128,255.10641479492188,103176300,0.0,0.0,0.0
2018-12-04,254.2569861884998,254.69541758865765,246.520674728343,246.84036254882807,177986000,0.0,0.0,0.0
2018-12-06,242.88547074020784,246.5846401968709,239.7069055179061,246.4658966064453,204185400,0.0,0.0,0.0
2018-12-07,246.11884167089823,247.7263959594068,239.88048185088743,240.7390594482422,161018900,0.0,0.0,0.0
2018-12-10,240.55642485763647,242.19137972726557,236.2178781770803,241.19580078125,151445900,0.0,0.0,0.0
2018-12-11,244.4748036501936,244.66660526061744,239.74351143247503,241.2505798339844,121504400,0.0,0.0,0.0
2018-12-12,244.301184728796,245.6986517819606,242.38308558988265,242.4652862548828,97976700,0.0,0.0,0.0
2018-12-13,243.43348148591213,244.31945921341847,241.24137997814807,242.3831024169922,96662700,0.0,0.0,0.0
